65301 - 81311, grube-beschert-gluck - grube-beschert-gluck
65303 - 81229, grube-beust - grube-beust
65306 - 65423, grube-bloth - grube-knab
65314 - 81189, grube-catharina-neufang - grube-catharina-neufang
65317 - 79919, grube-churprinz-friedrich-august - grube-churprinz-friedrich-august
65320 - 80129, grube-daniel - grube-daniel
65329 - 65391, grube-eduard2 - grube-hanns
65332 - 81223, grube-eiserner-landgraf - grube-eiserner-landgraf
65354 - 65436, grube-freiung-ii - grube-lanzenholz
65354 - 65476, grube-freiung-ii - grube-maschl
65356 - 80123, grube-friedefurst - grube-friedefurst
65362 - 79737, grube-furstenvertrag - grube-furstenvertrag
65363 - 84518, grube-gelbe-birke - grube-gelbe-birke
65365 - 81312, grube-gelobt-land - grube-gelobt-land
65369 - 65528, grube-gisela - grube-schramm
65370 - 81361, grube-glasebach - grube-glasebach
65395 - 65397, grube-helene - grube-helene1
65400 - 83990, grube-himmelfahrt - grube-himmelfahrt
65401 - 80036, grube-himmelsfurst - grube-himmelsfurst
65404 - 83880, grube-hoff-und-trau-gott - grube-hoff-und-trau-gott
65408 - 83886, grube-isolde - grube-isolde
65413 - 80128, grube-junge-kalbe - grube-junge-kalbe
65421 - 81227, grube-klingelsporn - grube-klingelsporn
65431 - 84010, grube-konig-david1 - grube-konig-david
65440 - 65441, grube-limburg1 - grube-limburg2
65443 - 65444, grube-lissenthan - grube-lissenthan1
65447 - 84060, grube-louise2 - grube-louise
65459 - 65460, grube-marienschacht1 - grube-marienschacht2
65459 - 65461, grube-marienschacht1 - grube-marienschacht3
65462 - 88822, grube-mark - grube-mark
65475 - 81219, grube-montanus - grube-montanus
65479 - 65480, grube-naaf - grube-nast
65485 - 81230, grube-neujahr - grube-neujahr
65495 - 81231, grube-peter-und-paul - grube-peter-und-paul
65499 - 80131, grube-priester-und-leviten - grube-priester-und-leviten
65504 - 80127, grube-rappold - grube-rappold
65513 - 81239, grube-rosenkranz - grube-rosenkranz
65517 - 81176, grube-roter-bar - grube-roter-bar
65521 - 80519, grube-samson - grube-samson
65523 - 84723, grube-sauberg - grube-sauberg
65524 - 80125, grube-sauschwart - grube-sauschwart
65530 - 81220, grube-schwalbener-flugel - grube-schwalbener-flugel
65533 - 79614, grube-segen-huckelheim - grube-segen-huckelheim
65534 - 82037, grube-seidenschwanz - grube-seidenschwanz
65535 - 80133, grube-siebenschlehen - grube-siebenschlehen
65543 - 81134, grube-st-christoph - grube-st-christoph
65545 - 80431, grube-st-hubertus-ungefahre-lage - grube-st-hubertus-ungefahre-lage
65546 - 83947, grube-st-johannes - grube-st-johannes
65558 - 84032, grube-thekla - grube-thekla
65560 - 84517, grube-treue-freundschaft - grube-treue-freundschaft
65562 - 82668, grube-velsen - grube-velsen
65578 - 79933, grube-wilhelmine - grube-wilhelmine
65579 - 80347, grube-wolfgangmassen - grube-wolfgangmassen
65600 - 82713, grubet - grubet
65612 - 83884, gunther-zeche - gunther-zeche
65623 - 81892, hainer-see - hainer-see
65625 - 88849, halbverschuetteter-stolleneingang - schieferstollen
65638 - 82499, hammereisenbach - hammereisenbach
65648 - 81893, haubitzer-becken - haubitzer-becken
65649 - 81946, hauenstein - hauenstein
65689 - 83934, herzog-carl-kunstschacht - herzog-carl-kunstschacht
65690 - 79645, herzog-julius-hutte-astfeld - herzog-julius-hutte-astfeld
65705 - 80857, hirschfeld-kiesgrube - hirschfeld-kiesgrube
65706 - 84597, hirschfeld-sandgrube - hirschfeld-sandgrube
65711 - 80788, hochblauen - hochblauen
65750 - 80566, hohentwiel - hohentwiel
65761 - 84575, huth-vorwerk - huth-vorwerk
65764 - 80512, hamatitfundstellen-gleissinger-fels - hamatitfundstellen-gleissinger-fels
65765 - 81235, hausellohe - hausellohe
65778 - 65787, hohle20 - hohle29
65782 - 65799, hohle24 - hohle4
65784 - 65806, Höhle - Stollen
